"fuente","team_name","pitcher","player_id","ip","gs","gp","w","l","era","whip","fip","siera","k9","bb9","hr9","sow","k_pct","bb_pct","k_bb_diff","gb_pct","fb_pct","hr_fb_pct","pitches_per_ip","strike_pct","lob_pct","era_fip_diff","era_fip_label","reg_risk_score","reg_risk_label","stress_index","stress_label"
"2025 (sin datos 2026)","Acereros del Norte","Christian Young",670405,85,18,18,4,3,4.98,1.4,4.92647058823529,4.24,6.56,3.28,1.48,2,16.7,8.4,8.3,41.3,58.7,13,16.94,0.63,NA,0.05,"✓ ERA y FIP alineados",51.9,"✓ Estable",47.5,"🟢 Bajo"
"2026","Acereros del Norte","Jackson Goddard",680725,48.1,11,11,3,1,4.66,1.59,4.6468814968815,4.22,8.57,6.14,0.93,1.39,21.2,15.2,6,45.6,54.4,10.2,18.08,0.6,NA,0.01,"✓ ERA y FIP alineados",48.5,"✓ Estable",59,"🟡 Moderado"
"2026","Acereros del Norte","Wilmer Rios",658140,55.2,10,11,2,3,5.82,1.47,4.70797101449275,3.83,6.95,2.26,1.62,3.07,17.3,5.6,11.7,44.2,55.8,14.9,16.76,0.64,NA,1.11,"📈 Unlucky — va a mejorar",60.6,"↗ Ligeramente sobre promedio",37.9,"🟢 Bajo"
"2026","Acereros del Norte","Jake McSteen",701151,48.1,10,10,5,5,5.03,1.39,3.23316008316008,3.48,7.26,1.86,0.74,3.9,18.8,4.8,14,44,56,7.1,15.89,0.66,NA,1.8,"📈 Unlucky — va a mejorar",52.4,"✓ Estable",27.3,"🟢 Bajo"
"2026","Acereros del Norte","Amilcar Carreon",840328,30.1,8,8,1,1,3.86,1.32,2.45232558139535,4.03,6.23,2.08,0,3,15.9,5.3,10.6,58.6,41.4,0,17.18,0.63,NA,1.41,"📈 Unlucky — va a mejorar",40.2,"✓ Estable",25.1,"🟢 Bajo"
"2026","Acereros del Norte","Jorge Tavarez",664590,37.1,7,9,1,5,5.79,1.29,2.50309973045822,2.97,8.2,1.45,0.48,5.67,21.1,3.7,17.4,63.2,36.8,7.1,15.4,0.67,NA,3.29,"📈 Unlucky — va a mejorar",60.3,"↗ Ligeramente sobre promedio",17.4,"🟢 Bajo"
"2026","Acereros del Norte","A.J. Candelario",668826,31.2,7,7,2,3,5.12,1.86,3.88717948717949,4.54,6.82,4.26,0.57,1.6,16,10,6,38.5,61.5,5,19.26,0.61,NA,1.23,"📈 Unlucky — va a mejorar",53.3,"✓ Estable",41.7,"🟢 Bajo"
"2026","Acereros del Norte","Brady Miller",835985,16,3,3,1,2,3.94,1.63,3.2125,3.93,6.75,2.25,0.56,3,16.7,5.6,11.1,41.2,58.8,5,15.19,0.67,NA,0.73,"↗ Ligeramente unlucky",41,"✓ Estable",23.1,"🟢 Bajo"
"2026","Acereros del Norte","Rolando Mora",807608,24.1,2,12,2,1,4.07,1.36,3.27448132780083,1.76,12.21,3.7,1.11,3.3,32,9.7,22.3,34.3,65.7,13,17.51,0.6,71.4,0.8,"📈 Unlucky — va a mejorar",42.4,"✓ Estable",38.9,"🟢 Bajo"
"2026","Acereros del Norte","Jonathan Lopez",803167,13.2,1,12,0,0,5.27,1.83,6.10454545454545,4.85,5.93,3.95,1.98,1.5,13.6,9.1,4.5,31.2,68.8,13.6,17.2,0.67,25,-0.83,"📉 Lucky — riesgo regresión",54.9,"✓ Estable",53.4,"🟡 Moderado"
"2025 (sin datos 2026)","Acereros del Norte","Chris Muller",676726,42.1,0,41,1,4,5.74,1.7,5.73907363420428,4.64,6.8,4.89,1.7,1.39,16.7,12,4.7,59.1,40.9,22.2,16.77,0.62,59.3,0,"✓ ERA y FIP alineados",59.8,"✓ Estable",54.8,"🟡 Moderado"
"2025 (sin datos 2026)","Acereros del Norte","Anderson Severino",644429,37,0,43,3,1,2.68,1.3,2.63648648648649,2.46,11.19,4.86,0.24,2.3,30.1,13.1,17,51.7,48.3,3.6,17.89,0.6,67.6,0.04,"✓ ERA y FIP alineados",27.9,"↘ Ligeramente bajo promedio",32.8,"🟢 Bajo"
"2025 (sin datos 2026)","Acereros del Norte","Francisco Morales",672839,33.2,0,36,2,0,5.08,1.49,4.86686746987952,3.75,9.09,5.35,1.34,1.7,22.8,13.4,9.4,72.1,27.9,29.4,16.6,0.61,46.2,0.21,"✓ ERA y FIP alineados",52.9,"✓ Estable",52.2,"🟡 Moderado"
"2026","Acereros del Norte","Ivan Armstrong",678371,26.2,0,25,2,0,2.03,1.16,2.27213740458015,2.82,9.45,3.71,0,2.55,26.2,10.3,15.9,47.9,52.1,0,16.35,0.65,80,-0.24,"✓ ERA y FIP alineados",21.1,"⚠️ ERA bajo — riesgo regresión",22.3,"🟢 Bajo"
"2025 (sin datos 2026)","Acereros del Norte","Luis Reyes",642530,26.2,0,26,3,1,3.04,1.46,5.40190839694657,5.63,4.73,5.4,1.01,0.88,12.2,13.9,-1.7,60.7,39.3,12.5,15.86,0.59,47.4,-2.36,"📉 Lucky — riesgo regresión",31.7,"↘ Ligeramente bajo promedio",47.6,"🟢 Bajo"
"2025 (sin datos 2026)","Acereros del Norte","R.J. Alaniz",595798,26.2,0,28,3,0,4.05,1.5,2.23396946564885,1.69,13.84,5.06,0.34,2.73,34.2,12.5,21.7,63.2,36.8,7.1,20.25,0.62,NA,1.82,"📈 Unlucky — va a mejorar",42.2,"✓ Estable",35.5,"🟢 Bajo"
"2026","Acereros del Norte","Ryley Gilliam",663894,24.2,0,24,2,3,4.74,1.22,2.11694214876033,1.96,11.31,2.92,0.36,3.88,29.5,7.6,21.9,61.9,38.1,6.2,15.73,0.64,100,2.62,"📈 Unlucky — va a mejorar",49.4,"✓ Estable",22.9,"🟢 Bajo"
"2026","Acereros del Norte","Estalin Ortiz",679215,24.1,0,29,1,0,3.33,1.32,1.78070539419087,1.75,13.32,4.81,0,2.77,33.6,12.1,21.5,41.7,58.3,0,17.1,0.62,90,1.55,"📈 Unlucky — va a mejorar",34.7,"↘ Ligeramente bajo promedio",28.9,"🟢 Bajo"
"2026","Acereros del Norte","Carlos Romero",673395,21.1,0,27,0,0,3.8,1.59,4.95094786729858,4.39,7.17,4.64,1.27,1.55,17.9,11.6,6.3,50,50,13.6,18.19,0.62,50,-1.15,"📉 Lucky — riesgo regresión",39.6,"↘ Ligeramente bajo promedio",46.9,"🟢 Bajo"
"2026","Acereros del Norte","Pedro Reyes",693804,19,0,12,0,1,4.26,1.32,4.09736842105263,3.97,7.58,3.79,0.95,2,19,9.5,9.5,41.5,58.5,8.3,16.32,0.62,60,0.16,"✓ ERA y FIP alineados",44.4,"✓ Estable",37,"🟢 Bajo"
"2026","Acereros del Norte","Christian Cosby",681797,18,0,20,0,2,8,1.94,4.87222222222222,4.8,7,5.5,1,1.27,16.3,12.8,3.5,58.3,41.7,13.3,18.39,0.64,NA,3.13,"📈 Unlucky — va a mejorar",83.3,"⚠️ ERA alto — candidato a mejorar",48,"🟢 Bajo"
"2026","Acereros del Norte","Jorge Rodriguez",681659,17,0,11,1,0,6.88,1.76,3.20882352941176,3.85,7.94,3.18,0.53,2.5,18.3,7.3,11,47.2,52.8,5.3,19.59,0.6,50,3.67,"📈 Unlucky — va a mejorar",71.7,"↗ Ligeramente sobre promedio",27,"🟢 Bajo"
"2026","Acereros del Norte","Angel Felipe",665734,14,0,16,1,1,1.29,1.21,3.22142857142857,4.09,8.36,5.79,0,1.44,22,15.3,6.7,73.1,26.9,0,15.57,0.55,100,-1.93,"📉 Lucky — riesgo regresión",13.4,"⚠️ ERA bajo — riesgo regresión",34.7,"🟢 Bajo"
"2026","Acereros del Norte","Oscar Soria",832573,9.2,0,10,1,0,8.38,1.66,2.71521739130435,3.46,10.24,5.59,0,1.83,24.4,13.3,11.1,41.2,58.8,0,16.24,0.61,85.7,5.66,"📈 Unlucky — va a mejorar",87.3,"⚠️ ERA alto — candidato a mejorar",33.5,"🟢 Bajo"
"2026","Acereros del Norte","Deivy Cruz",698942,8,0,10,1,0,7.88,2.13,5.9,3.11,12.38,6.75,2.25,1.83,27.5,15,12.5,50,50,33.3,22,0.56,33.3,1.98,"📈 Unlucky — va a mejorar",82.1,"⚠️ ERA alto — candidato a mejorar",74.2,"🔴 Alto — bullpen expuesto"
"2025 (sin datos 2026)","Acereros del Norte","Jameson McGrane",682494,8,0,11,1,1,13.5,2.88,5.525,5.37,6.75,6.75,1.13,1,13.3,13.3,0,43.8,56.2,11.1,22.75,0.59,100,7.97,"📈 Unlucky — va a mejorar",100,"⚠️ ERA alto — candidato a mejorar",57.5,"🟡 Moderado"
"2025 (sin datos 2026)","Algodoneros Union Laguna","Travis Lakins",664042,95.1,18,18,9,3,4.72,1.4,3.82297581493165,3.79,7.08,2.64,0.94,2.68,18.3,6.8,11.5,48.7,51.3,10,16.46,0.64,NA,0.9,"📈 Unlucky — va a mejorar",49.2,"✓ Estable",31.5,"🟢 Bajo"
"2025 (sin datos 2026)","Algodoneros Union Laguna","Grant Gavin",667050,70,14,14,4,3,4.11,1.27,4.42142857142857,3.51,8.23,3.73,1.29,2.21,22,10,12,47.8,52.2,14.1,16.41,0.61,NA,-0.31,"↘ Ligeramente lucky",42.8,"✓ Estable",45.4,"🟢 Bajo"
"2026","Algodoneros Union Laguna","Ricardo Sánchez",645307,60,12,12,3,4,6.3,1.85,3.8,4.07,7.8,3.9,0.75,2,18.1,9,9.1,59.5,40.5,10.2,17.42,0.66,NA,2.5,"📈 Unlucky — va a mejorar",65.6,"↗ Ligeramente sobre promedio",38.3,"🟢 Bajo"
"2026","Algodoneros Union Laguna","Jaime Barria",642545,52,12,12,3,5,5.88,1.71,4.4,4.5,5.37,2.08,1.21,2.58,13,5,8,50.9,49.1,12.3,16.19,0.66,NA,1.48,"📈 Unlucky — va a mejorar",61.2,"↗ Ligeramente sobre promedio",39.1,"🟢 Bajo"
"2026","Algodoneros Union Laguna","Touki Toussaint",657053,45,11,11,4,3,7,1.78,4.72777777777778,4.3,7.6,4.6,1.2,1.65,18,10.9,7.1,47.8,52.2,12.8,18.44,0.62,NA,2.27,"📈 Unlucky — va a mejorar",72.9,"↗ Ligeramente sobre promedio",55.8,"🟡 Moderado"
"2026","Algodoneros Union Laguna","Aldo Montes",594105,34.1,8,11,1,3,8.65,1.86,4.88020527859238,4.93,6.55,4.98,1.05,1.32,14.3,10.9,3.4,52.1,47.9,11.8,19.17,0.59,NA,3.77,"📈 Unlucky — va a mejorar",90.1,"⚠️ ERA alto — candidato a mejorar",54.6,"🟡 Moderado"
"2026","Algodoneros Union Laguna","Lupe Chavez",660826,33.1,5,19,2,4,5.4,1.32,3.57296072507553,3.02,8.37,2.16,1.08,3.88,22.1,5.7,16.4,47.5,52.5,12.5,15.66,0.65,83.3,1.83,"📈 Unlucky — va a mejorar",56.3,"✓ Estable",29.2,"🟢 Bajo"
"2026","Algodoneros Union Laguna","Dario Agrazal",642607,18.1,5,5,0,2,9.33,2.29,4.19972375690608,5.44,4.42,3.93,0.49,1.13,10.1,9,1.1,62.2,37.8,7.1,18.71,0.61,NA,5.13,"📈 Unlucky — va a mejorar",97.2,"⚠️ ERA alto — candidato a mejorar",44.6,"🟢 Bajo"
"2026","Algodoneros Union Laguna","Erasmo Ramírez",541640,12,3,3,0,1,8.25,1.58,5.4,3.76,6.75,1.5,2.25,4.5,16.4,3.6,12.8,50,50,23.1,17.08,0.66,NA,2.85,"📈 Unlucky — va a mejorar",85.9,"⚠️ ERA alto — candidato a mejorar",53.7,"🟡 Moderado"
"2025 (sin datos 2026)","Algodoneros Union Laguna","Nick Bennett",668711,29.1,1,27,2,1,7.67,1.84,6.20841924398625,3.98,8.28,3.99,2.45,2.08,18.6,9,9.6,41.9,58.1,22.2,19.3,0.63,55,1.46,"📈 Unlucky — va a mejorar",79.9,"⚠️ ERA alto — candidato a mejorar",60.7,"🟡 Moderado"
"2025 (sin datos 2026)","Algodoneros Union Laguna","Yoan López",661255,46,0,45,2,3,4.89,1.57,4.19347826086956,3.84,8.41,4.5,0.98,1.87,20.8,11.1,9.7,65.9,34.1,16.7,17.61,0.62,16.7,0.7,"↗ Ligeramente unlucky",50.9,"✓ Estable",41.7,"🟢 Bajo"
"2026","Algodoneros Union Laguna","Jacob Barnes",606930,28.1,0,25,0,1,1.59,1.16,3.1855871886121,3.46,7.31,2.22,0.64,3.29,19.7,6,13.7,55,45,7.4,16.52,0.62,61.5,-1.6,"📉 Lucky — riesgo regresión",16.6,"⚠️ ERA bajo — riesgo regresión",22.9,"🟢 Bajo"
"2026","Algodoneros Union Laguna","Matt Foster",641582,28,0,29,2,3,3.21,1.43,1.29285714285714,2.22,9.32,0.64,0,14.5,24.2,1.7,22.5,37.3,62.7,0,16.64,0.71,25,1.92,"📈 Unlucky — va a mejorar",33.4,"↘ Ligeramente bajo promedio",3.8,"🟢 Bajo"
